t,f(x)
0,1
0.1,0.9950041653
0.2,0.9800665778
0.3,0.9553364891
0.4,0.921060994
0.5,0.8775825619
0.6,0.8253356149
0.7,0.7648421873
0.8,0.6967067093
0.9,0.6216099683
1,0.5403023059
1.1,0.4535961214
1.2,0.3623577545
1.3,0.2674988286
1.4,0.1699671429
1.5,0.07073720167
1.6,-0.0291995223
1.7,-0.1288444943
1.8,-0.2272020947
1.9,-0.3232895669
2,-0.4161468365
2.1,-0.5048461046
2.2,-0.5885011173
2.3,-0.6662760213
2.4,-0.7373937155
2.5,-0.8011436155
2.6,-0.8568887534
2.7,-0.904072142
2.8,-0.9422223407
2.9,-0.9709581651
3,-0.9899924966
3.1,-0.9991351503
3.2,-0.9982947758
3.3,-0.9874797699
3.4,-0.9667981926
3.5,-0.9364566873
3.6,-0.8967584163
3.7,-0.8481000317
3.8,-0.7909677119
3.9,-0.7259323042
4,-0.6536436209
4.1,-0.5748239465
4.2,-0.4902608213
4.3,-0.4007991721
4.4,-0.30733287
4.5,-0.2107957994
4.6,-0.1121525269
4.7,-0.01238866346
4.8,0.08749898344
4.9,0.1865123694
5,0.2836621855
5.1,0.3779777427
5.2,0.4685166713
5.3,0.5543743362
5.4,0.6346928759
5.5,0.7086697743
5.6,0.7755658785
5.7,0.8347127848
5.8,0.8855195169
5.9,0.9274784307
6,0.9601702867
6.1,0.9832684384
6.2,0.996542097
6.3,0.9998586364
6.4,0.9931849188
6.5,0.9765876257
6.6,0.950232592
6.7,0.9143831482
6.8,0.8693974903
6.9,0.8157251001
7,0.7539022543
7.1,0.6845466664
7.2,0.6083513145
7.3,0.5260775174
7.4,0.4385473276
7.5,0.3466353178
7.6,0.2512598426
7.7,0.153373862
7.8,0.05395542056
7.9,-0.04600212564
8,-0.1455000338
8.1,-0.2435441537
8.2,-0.339154861
8.3,-0.431376845
8.4,-0.5192886541
8.5,-0.6020119027
8.6,-0.6787200473
8.7,-0.7486466456
8.8,-0.8110930141
8.9,-0.8654352092
9,-0.9111302619
9.1,-0.9477216021
9.2,-0.9748436214
9.3,-0.9922253255
9.4,-0.999693042
9.5,-0.9971721562
9.6,-0.9846878558
9.7,-0.9623648798
9.8,-0.9304262721
9.9,-0.8891911526
10,-0.8390715291
10.1,-0.7805681802
10.2,-0.714265652
10.3,-0.6408264176
10.4,-0.5609842574
10.5,-0.475536928
10.6,-0.3853381908
10.7,-0.2912892817
10.8,-0.1943299065
10.9,-0.095428851
11,0.004425697988
11.1,0.1042360269
11.2,0.2030048638
11.3,0.2997453433
11.4,0.3934908663
11.5,0.4833047588
11.6,0.5682896298
11.7,0.6475963387
11.8,0.720432479
11.9,0.7860702961
12,0.8438539587
12.1,0.8932061115
12.2,0.9336336441
12.3,0.9647326179
12.4,0.9861923023
12.5,0.9977982792
12.6,0.9994345855
12.7,0.9910848718
12.8,0.9728325657
12.9,0.9448600382
13,0.9074467815
13.1,0.8609666165
13.2,0.8058839576
13.3,0.7427491727
13.4,0.6721930836
13.5,0.5949206633
13.6,0.5117039925
13.7,0.4233745445
13.8,0.3308148779
13.9,0.2349498185
14,0.1367372182
14.1,0.03715838479
14.2,-0.06279172292
14.3,-0.1621144365
14.4,-0.2598173562
14.5,-0.3549242668
14.6,-0.4464848914
14.7,-0.5335843866
14.8,-0.615352483
14.9,-0.6909721807
15,-0.7596879129
15.1,-0.8208130945
15.2,-0.873736983
15.3,-0.9179307804
15.4,-0.9529529169
15.5,-0.9784534628
15.6,-0.9941776252
15.7,-0.9999682933
15.8,-0.9957676089
15.9,-0.9816175436
16,-0.9576594803
16.1,-0.9241328001
16.2,-0.8813724904
16.3,-0.8298057981
16.4,-0.7699479605
16.5,-0.7023970575
16.6,-0.6278280352
16.7,-0.5469859628
16.8,-0.4606785874
16.9,-0.3697682639
17,-0.2751633381
17.1,-0.1778090711
17.2,-0.07867819473
17.3,0.02123880817
17.4,0.1209435999
17.5,0.2194399632
17.6,0.3157437549
17.7,0.4088927394
17.8,0.4979562028
17.9,0.5820442524
18,0.6603167082
18.1,0.7319914978
18.2,0.7963524703
18.3,0.8527565521
18.4,0.9006401724
18.5,0.9395248937
18.6,0.9690221929
18.7,0.9888373427
18.8,0.9987723566
18.9,0.9987279672
19,0.9887046182
19.1,0.9688024594
19.2,0.9392203467
19.3,0.9002538547
19.4,0.8522923239